year,id,display_name,works_count,category,related_concepts
2015,https://openalex.org/T10211,Computational Drug Discovery Methods,11192,AI in Healthcare,"[{""id"": ""https://openalex.org/T12794"", ""display_name"": ""Adaptive Dynamic Programming Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T13523"", ""display_name"": ""Mathematics, Computing, and Information Processing"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11567"", ""display_name"": ""semigroups and automata theory"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10534,Structural Health Monitoring Techniques,10831,AI in Healthcare,"[{""id"": ""https://openalex.org/T11375"", ""display_name"": ""Geotechnical Engineering and Soil Stabilization"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11870"", ""display_name"": ""Structural Analysis and Optimization"", ""category"": ""Optimization & Theory""}, {""id"": ""https://openalex.org/T12293"", ""display_name"": ""Dam Engineering and Safety"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10121,Building Energy and Comfort Optimization,10404,Optimization & Theory,"[{""id"": ""https://openalex.org/T11933"", ""display_name"": ""Mining and Resource Management"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T13477"", ""display_name"": ""Sustainable Design and Development"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11847"", ""display_name"": ""Recycled Aggregate Concrete Performance"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10400,Network Security and Intrusion Detection,10260,Machine Learning,"[{""id"": ""https://openalex.org/T11347"", ""display_name"": ""Neural Networks Stability and Synchronization"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10317"", ""display_name"": ""Advanced Database Systems and Queries"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12127"", ""display_name"": ""Software System Performance and Reliability"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10531,Advanced Vision and Imaging,10063,Computer Vision,"[{""id"": ""https://openalex.org/T10888"", ""display_name"": ""Augmented Reality Applications"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11019"", ""display_name"": ""Image Enhancement Techniques"", ""category"": ""Computer Vision""}, {""id"": ""https://openalex.org/T13579"", ""display_name"": ""Image and Video Stabilization"", ""category"": ""Computer Vision""}]"
2015,https://openalex.org/T11106,Data Management and Algorithms,9941,Robotics & Control,"[{""id"": ""https://openalex.org/T10860"", ""display_name"": ""Speech and Audio Processing"", ""category"": ""Natural Language Processing""}, {""id"": ""https://openalex.org/T11447"", ""display_name"": ""Blind Source Separation Techniques"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11034"", ""display_name"": ""Digital Filter Design and Implementation"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10791,Advanced Control Systems Optimization,9221,Optimization & Theory,"[{""id"": ""https://openalex.org/T14011"", ""display_name"": ""Elevator Systems and Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10972"", ""display_name"": ""Power Systems Fault Detection"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11053"", ""display_name"": ""Process Optimization and Integration"", ""category"": ""Optimization & Theory""}]"
2015,https://openalex.org/T10028,Topic Modeling,9029,Natural Language Processing,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T12564,Sensor Technology and Measurement Systems,8603,Machine Learning,"[{""id"": ""https://openalex.org/T11347"", ""display_name"": ""Neural Networks Stability and Synchronization"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10317"", ""display_name"": ""Advanced Database Systems and Queries"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12127"", ""display_name"": ""Software System Performance and Reliability"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T13717,Advanced Algorithms and Applications,8589,Robotics & Control,"[{""id"": ""https://openalex.org/T14011"", ""display_name"": ""Elevator Systems and Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10972"", ""display_name"": ""Power Systems Fault Detection"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11053"", ""display_name"": ""Process Optimization and Integration"", ""category"": ""Optimization & Theory""}]"
2015,https://openalex.org/T10688,Image and Signal Denoising Methods,8574,Computer Vision,"[{""id"": ""https://openalex.org/T10888"", ""display_name"": ""Augmented Reality Applications"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11019"", ""display_name"": ""Image Enhancement Techniques"", ""category"": ""Computer Vision""}, {""id"": ""https://openalex.org/T13579"", ""display_name"": ""Image and Video Stabilization"", ""category"": ""Computer Vision""}]"
2015,https://openalex.org/T10273,IoT and Edge/Fog Computing,8394,Machine Learning,"[{""id"": ""https://openalex.org/T11347"", ""display_name"": ""Neural Networks Stability and Synchronization"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10317"", ""display_name"": ""Advanced Database Systems and Queries"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12127"", ""display_name"": ""Software System Performance and Reliability"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T11363,Dental Radiography and Imaging,8167,AI in Healthcare,"[{""id"": ""https://openalex.org/T11787"", ""display_name"": ""Oral and Maxillofacial Pathology"", ""category"": ""AI in Healthcare""}, {""id"": ""https://openalex.org/T10359"", ""display_name"": ""Dental Implant Techniques and Outcomes"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12145"", ""display_name"": ""Dental Anxiety and Anesthesia Techniques"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T12206,Vibration and Dynamic Analysis,7791,Machine Learning,"[{""id"": ""https://openalex.org/T14011"", ""display_name"": ""Elevator Systems and Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10972"", ""display_name"": ""Power Systems Fault Detection"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11053"", ""display_name"": ""Process Optimization and Integration"", ""category"": ""Optimization & Theory""}]"
2015,https://openalex.org/T13623,Linguistic Studies and Language Acquisition,7692,Machine Learning,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10538,Data Mining Algorithms and Applications,7688,Machine Learning,"[{""id"": ""https://openalex.org/T14414"", ""display_name"": ""Artificial Intelligence in Education"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12863"", ""display_name"": ""Web and Library Services"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11800"", ""display_name"": ""User Authentication and Security Systems"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10331,Video Surveillance and Tracking Methods,7312,Computer Vision,"[{""id"": ""https://openalex.org/T10888"", ""display_name"": ""Augmented Reality Applications"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11019"", ""display_name"": ""Image Enhancement Techniques"", ""category"": ""Computer Vision""}, {""id"": ""https://openalex.org/T13579"", ""display_name"": ""Image and Video Stabilization"", ""category"": ""Computer Vision""}]"
2015,https://openalex.org/T10237,Cryptography and Data Security,7287,Machine Learning,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T11595,Textile materials and evaluations,7063,Machine Learning,"[{""id"": ""https://openalex.org/T10389"", ""display_name"": ""Polymer crystallization and properties"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10660"", ""display_name"": ""Conducting polymers and applications"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11360"", ""display_name"": ""Flame retardant materials and properties"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T11122,Online Learning and Analytics,6820,Machine Learning,"[{""id"": ""https://openalex.org/T14114"", ""display_name"": ""Digital Media and Philosophy"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T14246"", ""display_name"": ""E-Learning and Knowledge Management"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T13541"", ""display_name"": ""IoT-based Control Systems"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T11710,Biomedical Text Mining and Ontologies,6575,AI in Healthcare,"[{""id"": ""https://openalex.org/T10207"", ""display_name"": ""Advanced biosensing and bioanalysis techniques"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12412"", ""display_name"": ""Enzyme function and inhibition"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10066"", ""display_name"": ""Gut microbiota and health"", ""category"": ""AI in Healthcare""}]"
2015,https://openalex.org/T10052,Medical Image Segmentation Techniques,6431,AI in Healthcare,"[{""id"": ""https://openalex.org/T10888"", ""display_name"": ""Augmented Reality Applications"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11019"", ""display_name"": ""Image Enhancement Techniques"", ""category"": ""Computer Vision""}, {""id"": ""https://openalex.org/T13579"", ""display_name"": ""Image and Video Stabilization"", ""category"": ""Computer Vision""}]"
2015,https://openalex.org/T13083,Advanced Text Analysis Techniques,6400,Graph & Network,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T14270,Simulation and Modeling Applications,6296,Optimization & Theory,"[{""id"": ""https://openalex.org/T14011"", ""display_name"": ""Elevator Systems and Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10972"", ""display_name"": ""Power Systems Fault Detection"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11053"", ""display_name"": ""Process Optimization and Integration"", ""category"": ""Optimization & Theory""}]"
2015,https://openalex.org/T12697,Water Quality Monitoring Technologies,6253,Computer Vision,"[{""id"": ""https://openalex.org/T13804"", ""display_name"": ""Physical Activity and Education Research"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12911"", ""display_name"": ""Water Resources and Sustainability"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12724"", ""display_name"": ""Water-Energy-Food Nexus Studies"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T11269,Algorithms and Data Compression,6028,AI in Healthcare,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T12016,Web Data Mining and Analysis,6008,Computer Vision,"[{""id"": ""https://openalex.org/T14414"", ""display_name"": ""Artificial Intelligence in Education"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12863"", ""display_name"": ""Web and Library Services"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11800"", ""display_name"": ""User Authentication and Security Systems"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10885,Gene expression and cancer classification,6007,AI in Healthcare,"[{""id"": ""https://openalex.org/T10207"", ""display_name"": ""Advanced biosensing and bioanalysis techniques"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12412"", ""display_name"": ""Enzyme function and inhibition"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10066"", ""display_name"": ""Gut microbiota and health"", ""category"": ""AI in Healthcare""}]"
2015,https://openalex.org/T11512,Anomaly Detection Techniques and Applications,5862,Computer Vision,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10111,Remote Sensing in Agriculture,5810,Computer Vision,"[{""id"": ""https://openalex.org/T13490"", ""display_name"": ""Aquatic Ecosystems and Biodiversity"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12073"", ""display_name"": ""Isotope Analysis in Ecology"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10199"", ""display_name"": ""Wildlife Ecology and Conservation"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10100,Metaheuristic Optimization Algorithms Research,5789,Optimization & Theory,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10201,Speech Recognition and Synthesis,5445,Natural Language Processing,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10689,Remote-Sensing Image Classification,5431,Computer Vision,"[{""id"": ""https://openalex.org/T11479"", ""display_name"": ""Smart Cities and Technologies"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T14145"", ""display_name"": ""Diverse Cultural Media Analysis"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12124"", ""display_name"": ""Engineering Education and Curriculum Development"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10711,Target Tracking and Data Fusion in Sensor Networks,5299,Computer Vision,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10682,Quantum Computing Algorithms and Architecture,5017,Machine Learning,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T11598,Internet Traffic Analysis and Secure E-voting,5016,Machine Learning,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10764,Privacy-Preserving Technologies in Data,4831,Explainable & Trustworthy AI,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10524,Traffic control and management,4819,Machine Learning,"[{""id"": ""https://openalex.org/T14011"", ""display_name"": ""Elevator Systems and Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10972"", ""display_name"": ""Power Systems Fault Detection"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11053"", ""display_name"": ""Process Optimization and Integration"", ""category"": ""Optimization & Theory""}]"
2015,https://openalex.org/T12006,Ergonomics and Musculoskeletal Disorders,4597,Computer Vision,"[{""id"": ""https://openalex.org/T13542"", ""display_name"": ""Grit, Self-Efficacy, and Motivation"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11400"", ""display_name"": ""Motivation and Self-Concept in Sports"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12753"", ""display_name"": ""Psychology, Coaching, and Therapy"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T14470,Advanced Data Processing Techniques,4583,Robotics & Control,"[{""id"": ""https://openalex.org/T14011"", ""display_name"": ""Elevator Systems and Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10972"", ""display_name"": ""Power Systems Fault Detection"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11053"", ""display_name"": ""Process Optimization and Integration"", ""category"": ""Optimization & Theory""}]"
2015,https://openalex.org/T13674,Computer Science and Engineering,4579,Computer Vision,"[{""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11010"", ""display_name"": ""Logic, Reasoning, and Knowledge"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10392,Cutaneous Melanoma Detection and Management,4494,AI in Healthcare,"[{""id"": ""https://openalex.org/T14364"", ""display_name"": ""Clusterin in disease pathology"", ""category"": ""AI in Healthcare""}, {""id"": ""https://openalex.org/T10178"", ""display_name"": ""Cancer survivorship and care"", ""category"": ""AI in Healthcare""}, {""id"": ""https://openalex.org/T12505"", ""display_name"": ""Peptidase Inhibition and Analysis"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T11901,Bayesian Methods and Mixture Models,4405,Machine Learning,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10571,Robotic Mechanisms and Dynamics,4391,Robotics & Control,"[{""id"": ""https://openalex.org/T14011"", ""display_name"": ""Elevator Systems and Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10972"", ""display_name"": ""Power Systems Fault Detection"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11053"", ""display_name"": ""Process Optimization and Integration"", ""category"": ""Optimization & Theory""}]"
2015,https://openalex.org/T12031,Speech and dialogue systems,4387,Natural Language Processing,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T11975,Evolutionary Algorithms and Applications,4383,Optimization & Theory,"[{""id"": ""https://openalex.org/T13674"", ""display_name"": ""Computer Science and Engineering"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12380"", ""display_name"": ""Authorship Attribution and Profiling"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10951"", ""display_name"": ""Cryptographic Implementations and Security"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10799,Data Visualization and Analytics,4340,Computer Vision,"[{""id"": ""https://openalex.org/T10888"", ""display_name"": ""Augmented Reality Applications"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11019"", ""display_name"": ""Image Enhancement Techniques"", ""category"": ""Computer Vision""}, {""id"": ""https://openalex.org/T13579"", ""display_name"": ""Image and Video Stabilization"", ""category"": ""Computer Vision""}]"
2015,https://openalex.org/T11053,Process Optimization and Integration,4177,Optimization & Theory,"[{""id"": ""https://openalex.org/T14011"", ""display_name"": ""Elevator Systems and Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10972"", ""display_name"": ""Power Systems Fault Detection"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10791"", ""display_name"": ""Advanced Control Systems Optimization"", ""category"": ""Optimization & Theory""}]"
2015,https://openalex.org/T13373,Data Mining and Machine Learning Applications,4108,Machine Learning,"[{""id"": ""https://openalex.org/T14414"", ""display_name"": ""Artificial Intelligence in Education"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12863"", ""display_name"": ""Web and Library Services"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11800"", ""display_name"": ""User Authentication and Security Systems"", ""category"": ""Machine Learning""}]"
2015,https://openalex.org/T10653,Robot Manipulation and Learning,4104,Robotics & Control,"[{""id"": ""https://openalex.org/T14011"", ""display_name"": ""Elevator Systems and Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10972"", ""display_name"": ""Power Systems Fault Detection"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11053"", ""display_name"": ""Process Optimization and Integration"", ""category"": ""Optimization & Theory""}]"
2015,https://openalex.org/T12254,Machine Learning in Bioinformatics,4019,AI in Healthcare,"[{""id"": ""https://openalex.org/T10207"", ""display_name"": ""Advanced biosensing and bioanalysis techniques"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T12412"", ""display_name"": ""Enzyme function and inhibition"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10066"", ""display_name"": ""Gut microbiota and health"", ""category"": ""AI in Healthcare""}]"
2015,https://openalex.org/T11749,Iterative Learning Control Systems,3855,Optimization & Theory,"[{""id"": ""https://openalex.org/T14011"", ""display_name"": ""Elevator Systems and Control"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T10972"", ""display_name"": ""Power Systems Fault Detection"", ""category"": ""Machine Learning""}, {""id"": ""https://openalex.org/T11053"", ""display_name"": ""Process Optimization and Integration"", ""category"": ""Optimization & Theory""}]"
